area,total,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Konini,36,3,4,3,1,2,2,5,1,7,4,2,2
Kumeu East,36,2,1,5,3,3,4,3,3,6,1,4,1
Kumeu West,20,2,1,3,2,0,1,1,2,3,4,1,0
Laingholm,16,2,1,1,0,2,4,2,1,1,0,2,0
Lake Pupuke,163,8,22,9,8,11,10,13,10,8,12,25,27
Leabank,191,8,17,17,12,30,15,10,16,17,17,15,17
Leigh,1,0,0,0,1,0,0,0,0,0,0,0,0
Long Bay,66,8,5,0,3,9,12,3,3,5,7,5,6
Lucken Point,39,2,0,4,5,6,4,1,3,1,1,5,7
Lynfield North,72,5,8,8,11,8,7,1,5,5,5,6,3
Lynfield South,269,27,32,27,16,18,20,23,15,14,13,35,29
Lynnmall,1361,131,94,106,124,126,144,120,111,114,102,92,97
Mairangi Bay,79,3,2,6,4,4,6,2,7,0,16,13,16
Mangere Bridge,386,10,13,18,16,49,39,46,47,46,34,39,29
Mangere Central,810,90,91,68,68,73,62,67,64,62,48,63,54
Mangere East,271,14,10,34,51,28,23,12,11,20,22,23,23
Mangere South,837,91,73,71,81,54,56,77,63,76,63,73,59
Mangere Station,63,6,2,8,7,6,6,6,0,5,7,2,8
Manly,44,7,3,2,4,6,3,2,4,3,3,4,3
Manukau Central,3353,274,301,345,295,266,247,239,274,318,233,261,300
Manurewa Central,488,43,42,40,42,29,42,38,37,47,44,43,41
Manurewa East,237,13,20,13,18,16,20,18,16,24,15,32,32
Mascot,121,15,10,9,14,14,13,7,13,5,6,8,7
Massey Park,80,5,9,8,9,10,5,8,6,7,8,3,2
Massey West,63,5,10,9,6,2,7,5,4,5,2,5,3
Matakana,14,0,0,1,2,4,2,3,0,1,1,0,0
Matheson Bay,1,0,0,0,0,0,0,1,0,0,0,0,0
Matipo,65,3,5,6,4,5,8,6,11,8,2,4,3
Maungawhau,96,7,3,11,9,15,7,7,5,11,7,7,7
McLaren Park,46,3,5,0,3,5,0,4,2,7,4,7,6
Mcleod,104,9,4,10,7,11,14,3,12,7,7,11,9
Meadowbank North,49,8,4,3,0,3,5,2,6,2,6,5,5
Meadowbank South,67,3,3,4,5,4,4,3,5,7,8,8,13
Meadowland,320,19,23,12,29,36,29,43,28,27,25,20,29
Mellons Bay,32,1,3,3,2,1,2,4,5,1,3,5,2
Middlemore,121,7,6,13,7,8,7,8,11,14,13,18,9
Mill Road,15,2,0,3,0,1,0,0,1,1,2,2,3
Millhouse,245,21,17,30,24,30,16,23,22,14,18,16,14
Mission Bay,156,9,14,4,7,9,14,18,20,22,12,14,13
Mission Heights,15,1,1,0,3,0,1,2,0,4,0,1,2
Monarch Park,68,2,2,2,5,6,3,13,7,7,9,8,4
Mt Albert Central,189,11,10,17,10,21,14,15,15,16,21,20,19
